espn_rank,player,team,position,position_rank,bye_week
1,Ja'Marr Chase,CIN,WR,WR1,10
2,Bijan Robinson,ATL,RB,RB1,5
3,Justin Jefferson,MIN,WR,WR2,6
4,Saquon Barkley,PHI,RB,RB2,9
5,Jahmyr Gibbs,DET,RB,RB3,8
6,CeeDee Lamb,DAL,WR,WR3,10
7,Christian McCaffrey,SF,RB,RB4,14
8,Puka Nacua,LAR,WR,WR4,8
9,Malik Nabers,NYG,WR,WR5,14
10,Amon-Ra St. Brown,DET,WR,WR6,8
11,Ashton Jeanty,LV,RB,RB5,8
12,De'Von Achane,MIA,RB,RB6,12
13,Nico Collins,HOU,WR,WR7,6
14,Brian Thomas Jr.,JAC,WR,WR8,8
15,A.J. Brown,PHI,WR,WR9,9
16,Drake London,ATL,WR,WR10,5
17,Jonathan Taylor,IND,RB,RB7,11
18,Josh Jacobs,GB,RB,RB8,5
19,Derrick Henry,BAL,RB,RB9,7
20,Brock Bowers,LV,TE,TE1,8
21,Trey McBride,ARI,TE,TE2,8
22,Bucky Irving,TB,RB,RB10,9
23,Chase Brown,CIN,RB,RB11,10
24,Tee Higgins,CIN,WR,WR11,10
25,Tyreek Hill,MIA,WR,WR12,12
26,Ladd McConkey,LAC,WR,WR13,12
27,Davante Adams,LAR,WR,WR14,8
28,Josh Allen,BUF,QB,QB1,7
29,Lamar Jackson,BAL,QB,QB2,7
30,Jayden Daniels,WAS,QB,QB3,12
31,Jalen Hurts,PHI,QB,QB4,9
32,Kyren Williams,LAR,RB,RB12,8
33,James Cook,BUF,RB,RB13,7
34,Jaxon Smith-Njigba,SEA,WR,WR15,8
35,Terry McLaurin,WAS,WR,WR16,12
36,Garrett Wilson,NYJ,WR,WR17,9
37,Omarion Hampton,LAC,RB,RB14,12
38,Kenneth Walker III,SEA,RB,RB15,8
39,Joe Burrow,CIN,QB,QB5,10
40,George Kittle,SF,TE,TE3,14
41,Alvin Kamara,NO,RB,RB16,11
42,Chuba Hubbard,CAR,RB,RB17,14
43,James Conner,ARI,RB,RB18,8
44,TreVeyon Henderson,NE,RB,RB19,14
45,Mike Evans,TB,WR,WR18,9
46,Marvin Harrison Jr.,ARI,WR,WR19,8
47,Xavier Worthy,KC,WR,WR20,10
48,DK Metcalf,PIT,WR,WR21,5
49,DJ Moore,CHI,WR,WR22,5
50,Rashee Rice,KC,WR,WR23,10
51,Breece Hall,NYJ,RB,RB20,9
52,D'Andre Swift,CHI,RB,RB21,5
53,Zay Flowers,BAL,WR,WR24,7
54,Courtland Sutton,DEN,WR,WR25,12
55,Calvin Ridley,TEN,WR,WR26,10
56,DeVonta Smith,PHI,WR,WR27,9
57,Jaylen Waddle,MIA,WR,WR28,12
58,Jerry Jeudy,CLE,WR,WR29,9
59,Jameson Williams,DET,WR,WR30,8
60,George Pickens,DAL,WR,WR31,10
61,Sam LaPorta,DET,TE,TE4,8
62,Patrick Mahomes,KC,QB,QB6,10
63,Baker Mayfield,TB,QB,QB7,9
64,Rome Odunze,CHI,WR,WR32,5
65,Tetairoa McMillan,CAR,WR,WR33,14
66,Travis Hunter,JAC,WR,WR34,8
67,David Montgomery,DET,RB,RB22,8
68,Aaron Jones,MIN,RB,RB23,6
69,T.J. Hockenson,MIN,TE,TE5,6
70,Tony Pollard,TEN,RB,RB24,10
71,RJ Harvey,DEN,RB,RB25,12
72,Isiah Pacheco,KC,RB,RB26,10
73,Chris Godwin,TB,WR,WR35,9
74,Jakobi Meyers,LV,WR,WR36,8
75,Chris Olave,NO,WR,WR37,11
76,Cooper Kupp,SEA,WR,WR38,8
77,Stefon Diggs,NE,WR,WR39,14
78,Matthew Golden,GB,WR,WR40,5
79,Jordan Addison,MIN,WR,WR41,6
80,Tyrone Tracy Jr.,NYG,RB,RB27,14
81,Jaylen Warren,PIT,RB,RB28,5
82,Kaleb Johnson,PIT,RB,RB29,5
83,Travis Kelce,KC,TE,TE6,10
84,David Njoku,CLE,TE,TE7,9
85,Mark Andrews,BAL,TE,TE8,7
86,Evan Engram,DEN,TE,TE9,12
87,Bo Nix,DEN,QB,QB8,12
88,Kyler Murray,ARI,QB,QB9,8
89,Brock Purdy,SF,QB,QB10,14
90,Joe Mixon,HOU,RB,RB30,6
91,Quinshon Judkins,CLE,RB,RB31,9
92,Brian Robinson Jr.,WAS,RB,RB32,12
93,J.K. Dobbins,DEN,RB,RB33,12
94,Rhamondre Stevenson,NE,RB,RB34,14
95,Javonte Williams,DAL,RB,RB35,10
96,Khalil Shakir,BUF,WR,WR42,7
97,Jauan Jennings,SF,WR,WR43,14
98,Deebo Samuel Sr.,WAS,WR,WR44,12
99,Ricky Pearsall,SF,WR,WR45,14
100,Keon Coleman,BUF,WR,WR46,7
101,Michael Pittman Jr.,IND,WR,WR47,11
102,Jayden Reed,GB,WR,WR48,5
103,Justin Herbert,LAC,QB,QB11,12
104,Caleb Williams,CHI,QB,QB12,5
105,Dak Prescott,DAL,QB,QB13,10
106,Justin Fields,NYJ,QB,QB14,9
107,Keenan Allen,LAC,WR,WR49,12
108,Darnell Mooney,ATL,WR,WR50,5
109,Josh Downs,IND,WR,WR51,11
110,Rashid Shaheed,NO,WR,WR52,11
111,Jayden Higgins,HOU,WR,WR53,6
112,Emeka Egbuka,TB,WR,WR54,9
113,Tucker Kraft,GB,TE,TE10,5
114,Austin Ekeler,WAS,RB,RB36,12
115,Cam Skattebo,NYG,RB,RB37,14
116,Travis Etienne Jr.,JAC,RB,RB38,8
117,Tyjae Spears,TEN,RB,RB39,10
118,Tank Bigsby,JAC,RB,RB40,8
119,Jordan Mason,MIN,RB,RB41,6
120,Rachaad White,TB,RB,RB42,9
121,Drake Maye,NE,QB,QB15,14
122,Jordan Love,GB,QB,QB16,5
123,Jared Goff,DET,QB,QB17,8
124,J.J. McCarthy,MIN,QB,QB18,6
125,Colston Loveland,CHI,TE,TE11,5
