"Division","Team","Head Coach","Offensive Scheme","Scheme_Balance","Position_Focus","Defensive Scheme"
"AFC East","Buffalo Bills","Sean McDermott","Erhardt-Perkins","balanced","WR","4-3"
"AFC East","Miami Dolphins","Mike McDaniel","West Coast","balanced","WR","3-4"
"AFC East","New England Patriots","Mike Vrabel","West Coast","pass-heavy","WR","3-4"
"AFC East","New York Jets","Aaron Glenn","West Coast","pass-heavy","WR","4-3"
"AFC North","Baltimore Ravens","John Harbaugh","Air Coryell","run-heavy","RB","3-4"
"AFC North","Cincinnati Bengals","Zac Taylor","West Coast","pass-heavy","WR","4-3"
"AFC North","Cleveland Browns","Kevin Stefanski","West Coast","pass-heavy","WR","4-3"
"AFC North","Pittsburgh Steelers","Mike Tomlin","West Coast","balanced","RB","3-4"
"AFC South","Houston Texans","DeMeco Ryans","West Coast","pass-heavy","WR","4-3"
"AFC South","Indianapolis Colts","Shane Steichen","West Coast","pass-heavy","WR","4-3"
"AFC South","Jacksonville Jaguars","Liam Coen","West Coast","balanced","WR","4-3"
"AFC South","Tennessee Titans","Brian Callahan","West Coast","balanced","RB","3-4"
"AFC West","Denver Broncos","Sean Payton","Air Coryell","pass-heavy","WR","3-4"
"AFC West","Kansas City Chiefs","Andy Reid","West Coast","pass-heavy","WR","4-3"
"AFC West","Las Vegas Raiders","Pete Carroll","West Coast","balanced","RB","4-3"
"AFC West","Los Angeles Chargers","Jim Harbaugh","West Coast","run-heavy","RB","4-3"
"NFC East","Dallas Cowboys","Brian Schottenheimer","Air Coryell","pass-heavy","WR","4-3"
"NFC East","New York Giants","Brian Daboll","Erhardt-Perkins","balanced","WR","3-4"
"NFC East","Philadelphia Eagles","Nick Sirianni","Air Coryell","pass-heavy","WR","4-3"
"NFC East","Washington Commanders","Dan Quinn","Spread","pass-heavy","WR","4-3"
"NFC North","Chicago Bears","Ben Johnson","Erhardt-Perkins","balanced","WR","4-3"
"NFC North","Detroit Lions","Dan Campbell","Erhardt-Perkins","balanced","RB","4-3"
"NFC North","Green Bay Packers","Matt LaFleur","West Coast","balanced","WR","4-3"
"NFC North","Minnesota Vikings","Kevin Oâ€™Connell","West Coast","pass-heavy","WR","3-4"
"NFC South","Atlanta Falcons","Raheem Morris","West Coast","run-heavy","WR","3-4"
"NFC South","Carolina Panthers","Dave Canales","West Coast","pass-heavy","WR","3-4"
"NFC South","New Orleans Saints","Kellen Moore","Air Coryell","pass-heavy","WR","4-3"
"NFC South","Tampa Bay Buccaneers","Todd Bowles","West Coast","balanced","WR","3-4"
"NFC West","Arizona Cardinals","Jonathan Gannon","West Coast","balanced","TE","3-4"
"NFC West","Los Angeles Rams","Sean McVay","West Coast","pass-heavy","WR","3-4"
"NFC West","San Francisco 49ers","Kyle Shanahan","West Coast","balanced","TE","4-3"
"NFC West","Seattle Seahawks","Mike Macdonald","Spread","pass-heavy","WR","3-4"
